Point;LatLng
4127;-99.128933,19.373176
4128;39.611552,47.234812
4129;38.8412784,56.7301870
4130;41.7167823,57.0990639
4131;39.8511380,57.6486570
4132;35.9348650,56.8412280
4133;37.6185301,55.4492328
4134;-99.165065,19.416829
4135;-99.154109,19.428973
4136;30.2858374,59.9097927
4137;30.1307810,59.9952730
4138;30.328704,59.894641
4139;45.023224,53.229418
4140;40.9698928,57.7774816
4141;37.6173000,55.7558260
4142;-74.113225,4.741494
4143;-75.475140,5.069578
4144;42.1515866,57.4426964
4145;82.9357327,55.0083526
4146;60.6057025,56.8389261
4149;41.9852847,45.0614430
4150;40.2182223,47.7105702
4151;40.2182223,47.7105702
4152;40.2182223,47.7105702
4153;39.8659500,57.5950820
4154;135.0662599,48.5027313
4155;36.1562241,51.7091957
4156;43.8700260,56.3035300
4157;30.3592160,59.8313130
4158;39.9476814,57.5640484
4159;38.4327201,55.8140979
4160;30.2541651,59.8976461
4161;38.7802433,58.0479597
4162;39.8844708,57.6260744
4163;42.1068739,57.4417860
4164;39.8844708,57.6260744
4165;34.1735750,60.9105209
4166;39.0769925,45.0004573
4167;41.0080084,56.9854737
4168;158.6265712,53.0616529
4169;30.3863510,59.9076552
4170;30.3350986,59.9342802
4171;30.4341860,59.9452400
4172;41.3226311,56.3567690
4173;30.3834244,59.8348451
4174;60.5755511,56.7478945
4176;30.3179240,60.0261050
4177;39.8844708,57.6260744
4178;40.2355138,47.7236224
4179;30.6172020,59.7570460
4180;57.502757, 42.106267
4181;40.8951918,57.7206590
4182;30.5714266,56.3537604
4183;40.8951918,57.7206590
4184;30.3350986,59.9342802
4185;42.1872305,47.5302596
4186;37.9132708,59.1537184
4187;57.1903905,65.1383492
4188;38.3452349,57.5358899
4189;38.3433570,57.5267388
4190;40.2589364,47.4136138
4191;40.2589364,47.4136138
4192;39.7770103,47.1263930
4193;41.0216950,57.0352930
4194;-74.041667,4.947222
4195;39.7457193,47.3041762
4196;39.7457193,47.3041762
4197;40.1455190,47.7111320
4198;37.5247330,56.7298900
4199;35.9175965,56.8587214
4200;39.6913890,47.2953204
