œ000630;797;2757
œ000630;9098246;2674
œ000692;9177116;3495
œ000692;797;2757
œ000692;9098246;2634
œ003219;797;2757
œ003240;9177116;3495
œ003240;797;2757
œ003240;9098246;2634
90931;9177116;3495
90931;797;2757
90931;9098246;2634
œ003965;9177116;3495
œ003965;797;2757
œ003965;9098246;2634
œ003986;9177116;3495
œ003986;797;2757
œ003986;9098246;2634
œ000928;9177116;3495
œ000928;797;2757
œ000928;9098246;2634
œ003279;9177116;3495
œ003279;797;2757
œ003279;9098246;2634
0051511;9177116;3495
0051511;797;2757
0051511;9098246;2634
œ001625;9177116;3495
œ001625;797;2757
œ001625;9098246;2634
œ001643;9177116;3495
œ001643;797;2757
œ001643;9098246;2634
œ001707;9177116;3495
œ001707;797;2757
œ001707;9098246;2634
œ001778;9177116;3495
œ001778;797;2757
œ001778;9098246;2634
œ005451;9177116;3495
œ005451;797;2757
œ005451;9098246;2594
œ005483;9177116;3495
œ005483;797;2757
œ005483;9098246;2634
œ005497;797;2757
œ005527;9177116;3443
œ005527;9096186;233
œ005527;797;2757
œ005527;9098246;2608
œ005634;9177116;3495
œ005634;797;2757
œ005634;9098246;2634
œ005736;9177116;3495
œ005736;797;2757
œ005736;9098246;2634
œ005774;797;2757
92002;9177116;3495
92002;797;2757
92002;9098246;2634
œ004728;9177116;3495
œ004728;797;2757
œ004728;9098246;2634
œ004762;9177116;3495
œ004762;797;2757
œ004762;9098246;2634
œ004782;9177116;3582
œ004782;797;2757
œ004782;9098246;2700
œ004802;9177116;3495
œ004802;797;2757
œ004802;9098246;2634
œ004815;9177116;3495
œ004815;797;2757
œ004815;9098246;2634
œ004848;9177116;3547
œ004848;797;2757
œ004848;9098246;2674
œ004864;9177116;3582
œ004864;797;2757
œ004864;9098246;2700
œ004885;9177116;3495
œ004885;797;2757
œ004885;9098246;2634
œ004915;9177116;3495
œ004915;797;2757
œ004915;9098246;2634
œ004939;9177116;3495
œ004939;797;2757
œ004939;9098246;2634
œ004990;9177116;3495
œ004990;797;2757
œ004990;9098246;2634
œ005025;9177116;3495
œ005025;797;2757
92487;797;2757
œ000517;9177116;3495
œ000517;797;2757
